CanadaPrice,SCORE,SaleEnds,LowestPrice,SaleStarted,description,Image,NewZealandPrice,URL,platform,MainStory,Trailer,PeruPrice,PercentOff,Completionist,genre,ArgentinaPrice,AustraliaPrice,MexPrice,ColombiaPrice,SouthafricaPrice,BrazilPrice,OpenCriticURL,Title,ESRBRating,Publisher,ReleaseDate,Slug,PolandPrice,NumberofPlayers,NorwayPrice,Price,MexicoPrice,MainExtra,SalePrice,Popularity,JapanPrice,KoreaPrice,HongKongPrice
31.99,93,2025-09-09,/game/20074,2025-08-28,,https://images.weserv.nl/?url=https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_NoMansSky_image500w.jpg&w=240,,https://www.nintendo.com/us/store/products/no-mans-sky-switch/,Nintendo Switch,31,,95.96,60%,153,"Action, Adventure, Simulation, Role-playing",3199.60,,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_NoMansSky_image500w.jpg,103999,,119.96,https://www.metacritic.com/game/no-mans-sky/critic-reviews/?platform=nintendo-switch,No Man's Sky,,Hello Games,2022-10-07T00:00:00.000Z,no-mans-sky-switch,,https://shope.ee/5ALD8alAHo,,59.99,559.60,77,23.99,55,,,
6.12,92,2025-09-06,/game/42818,2025-08-15,,https://images.weserv.nl/?url=https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_Celeste_image500w.jpg&w=240,,https://www.nintendo.com/us/store/products/celeste-switch/,Nintendo Switch,8,,12.48,75%,38,"Action, Platformer",,,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_Celeste_image500w.jpg,11875,,14.99,https://www.metacritic.com/game/celeste/critic-reviews/?platform=nintendo-switch,Celeste,,Maddy Makes Games,2018-01-25T00:00:00.000Z,celeste-switch,,https://shope.ee/5ALD8alAHo,,19.99,88.82,14,4.99,17,,,
2.69,91,2025-09-07,/game/21694,2025-08-17,,https://images.weserv.nl/?url=https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_Inside_image500w.jpg&w=240,,https://www.nintendo.com/us/store/products/inside-switch/,Nintendo Switch,4,,7,90%,5,"Adventure, Puzzle, Action, Platformer",1100,,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_Inside_image500w.jpg,9500,,9.99,https://www.metacritic.com/game/inside/critic-reviews/?platform=nintendo-switch,INSIDE,,Playdead,2018-06-28T00:00:00.000Z,inside-switch,,https://shope.ee/5ALD8alAHo,,19.99,35.00,4,1.99,4,,,
38.99,90,2025-09-10,,2025-08-20,,https://images.weserv.nl/?url=https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_TsukihimeAPieceOfBlueGlassMoon_image500w.jpg&w=240,,https://www.nintendo.com/us/store/products/tsukihime-a-piece-of-blue-glass-moon-switch/,Nintendo Switch,,,113.40,40%,,"Adventure, Other",28835.40,,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_TsukihimeAPieceOfBlueGlassMoon_image500w.jpg,139800,,149.40,https://www.metacritic.com/game/tsukihime-a-piece-of-blue-glass-moon/critic-reviews/?platform=nintendo-switch,TSUKIHIME -A piece of blue glass moon-,,Aniplex of America,2024-06-27T00:00:00.000Z,tsukihime-a-piece-of-blue-glass-moon-switch,,https://shope.ee/5ALD8alAHo,,49.99,599.40,,29.99,,,,
12.49,90,2025-09-11,/game/71074,2025-08-28,,https://images.weserv.nl/?url=https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_ChicoryAColorfulTale_image500w.jpg&w=240,,https://www.nintendo.com/us/store/products/chicory-a-colorful-tale-switch/,Nintendo Switch,9,,33.82,50%,21,"Adventure, Puzzle, Multiplayer",1033.45,,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_ChicoryAColorfulTale_image500w.jpg,33822,,47.91,https://www.metacritic.com/game/chicory-a-colorful-tale/critic-reviews/?platform=nintendo-switch,Chicory: A Colorful Tale,,Finji,2021-12-15T00:00:00.000Z,chicory-a-colorful-tale-switch,,https://shope.ee/5ALD8alAHo,,19.99,192.60,13,9.99,4,,,
33.71,90,2025-09-11,/game/88918,2025-08-28,,https://images.weserv.nl/?url=https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_5/1x1_NSwitch_JackJeanne_image500w.jpg&w=240,,https://www.nintendo.com/us/store/products/jack-jeanne-switch/,Nintendo Switch,23,,110.20,50%,,"Adventure, Music, Other",5330.50,,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_5/1x1_NSwitch_JackJeanne_image500w.jpg,113284,,125.89,https://www.metacritic.com/game/jack-jeanne/critic-reviews/?platform=nintendo-switch,Jack Jeanne,,Aksys Games,2023-06-15T00:00:00.000Z,jack-jeanne-switch,,https://shope.ee/5ALD8alAHo,,49.99,453.83,80,24.99,,,,
6.49,89,2025-09-11,/game/90590,2025-08-28,,https://images.weserv.nl/?url=https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_DeathsDoor_image500w.jpg&w=240,,https://www.nintendo.com/us/store/products/deaths-door-switch/,Nintendo Switch,9,,17.99,76%,16,"Action, Adventure, Arcade",549.72,,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_DeathsDoor_image500w.jpg,17991,,25.48,https://www.metacritic.com/game/deaths-door/critic-reviews/?platform=nintendo-switch,Death's Door,,Devolver Digital,2021-11-23T00:00:00.000Z,deaths-door-switch,,https://shope.ee/5ALD8alAHo,,19.99,102.27,12,4.99,10,,,
6.29,89,2025-09-11,/game/61352,2025-08-28,,https://images.weserv.nl/?url=https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_MarkOfTheNinjaRemastered_image500w.jpg&w=240,,https://www.nintendo.com/us/store/products/mark-of-the-ninja-remastered-switch/,Nintendo Switch,8,,,75%,19,"Action, Platformer",,,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_MarkOfTheNinjaRemastered_image500w.jpg,,,19.97,https://www.metacritic.com/game/mark-of-the-ninja-remastered/critic-reviews/?platform=nintendo-switch,Mark of the Ninja: Remastered,,Klei Entertainment,2018-10-09T00:00:00.000Z,mark-of-the-ninja-remastered-switch,,https://shope.ee/5ALD8alAHo,,19.99,96.95,10,4.99,5,,,
17.99,89,2025-09-11,/game/129246,2025-08-28,,https://images.weserv.nl/?url=https://www.nintendo.com/eu/media/images/assets/nintendo_switch_games/neva/1x1_Neva_image500w.jpg&w=240,,https://www.nintendo.com/us/store/products/neva-switch/,Nintendo Switch,4,,30.10,31%,6,"Adventure, Platformer, Puzzle, Action",7087.50,,https://www.nintendo.com/eu/media/images/assets/nintendo_switch_games/neva/1x1_Neva_image500w.jpg,33250,,41.99,https://www.metacritic.com/game/neva/critic-reviews/?platform=nintendo-switch,Neva,,Devolver Digital,2024-10-15T00:00:00.000Z,neva-switch,,https://shope.ee/5ALD8alAHo,,19.99,159.59,4,13.99,,,,
6.99,89,2025-09-11,/game/115733,2025-08-28,,https://images.weserv.nl/?url=https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_ThisWayMadnessLies_image500w.jpg&w=240,,https://www.nintendo.com/us/store/products/this-way-madness-lies-switch/,Nintendo Switch,7,,17.90,50%,9,"Role-playing, Adventure",1342.15,,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_ThisWayMadnessLies_image500w.jpg,19862,,23.83,https://www.metacritic.com/game/this-way-madness-lies/critic-reviews/?platform=nintendo-switch,This Way Madness Lies,,Limited Run Games,2023-07-25T00:00:00.000Z,this-way-madness-lies-switch,,https://shope.ee/5ALD8alAHo,,9.99,85.32,8,4.99,1,,,
19.99,88,2025-09-11,/game/30314,2025-08-28,,https://images.weserv.nl/?url=https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_5/SQ_NSwitch_13SentinelsAegisRim_image500w.jpg&w=240,,https://www.nintendo.com/us/store/products/13-sentinels-aegis-rim-switch/,Nintendo Switch,31,,54.75,75%,38,"Adventure, Simulation",4499.75,,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_5/SQ_NSwitch_13SentinelsAegisRim_image500w.jpg,58999,,73.75,https://www.metacritic.com/game/13-sentinels-aegis-rim/critic-reviews/?platform=nintendo-switch,13 Sentinels: Aegis Rim,,SEGA,2022-04-12T00:00:00.000Z,13-sentinels-aegis-rim-switch,,https://shope.ee/5ALD8alAHo,,59.99,254.75,36,14.99,9,,,
19.20,88,2025-09-11,/game/129785,2025-08-28,,https://images.weserv.nl/?url=https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_5/1x1_NSwitch_PrinceOfPersiaTheLostCrown_image500w.jpg&w=240,,https://www.nintendo.com/us/store/products/prince-of-persia-the-lost-crown-switch/,Nintendo Switch,16,,54.20,65%,31,"Action, Adventure",12074.65,,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_5/1x1_NSwitch_PrinceOfPersiaTheLostCrown_image500w.jpg,55950,,69.99,https://www.metacritic.com/game/prince-of-persia-the-lost-crown/critic-reviews/?platform=nintendo-switch,Prince of Persia The Lost Crown,,Ubisoft,2024-01-18T00:00:00.000Z,prince-of-persia-the-lost-crown-switch,,https://shope.ee/5ALD8alAHo,,39.99,279.65,23,13.99,18,,,
