CanadaPrice,SCORE,SaleEnds,LowestPrice,SaleStarted,description,Image,NewZealandPrice,URL,platform,MainStory,Trailer,PeruPrice,PercentOff,Completionist,genre,ArgentinaPrice,AustraliaPrice,MexPrice,ColombiaPrice,SouthafricaPrice,BrazilPrice,OpenCriticURL,Title,ESRBRating,Publisher,ReleaseDate,Slug,PolandPrice,NumberofPlayers,NorwayPrice,Price,Currency,MexicoPrice,MainExtra,SalePrice,Popularity,JapanPrice,KoreaPrice,HongKongPrice,MalaysiaPrice,SingaporePrice,ThailandPrice
84.99,97,2026-09-27,/game/38019,2026-09-13,,https://images.weserv.nl/?url=https%3A%2F%2Fwww.nintendo.com%2Feu%2Fmedia%2Fimages%2F11_square_images%2Fgames_18%2Fwii_u_20%2FSQ_WiiU_TheLegendOfZeldaBreathOfTheWild_image500w.jpg&w=240,99.95,https://www.nintendo.com/us/store/products/the-legend-of-zelda-breath-of-the-wild-switch/,Nintendo Switch,50,,239,30%,193,"Adventure, Action, Role-playing, Other",84999,89.95,https://www.nintendo.com/eu/media/images/11_square_images/games_18/wii_u_20/SQ_WiiU_TheLegendOfZeldaBreathOfTheWild_image500w.jpg,279900,1329,329.9,https://www.metacritic.com/game/the-legend-of-zelda-breath-of-the-wild/critic-reviews/?platform=nintendo-switch,The Legend of Zelda™: Breath of the Wild,,Nintendo,2017-03-03T00:00:00.000Z,the-legend-of-zelda-breath-of-the-wild-switch,289.8,https://shope.ee/5ALD8alAHo,769,59.99,USD,1229,98,41.99,3,7678,,399,229,69,1790
84.99,97,2026-09-27,/game/42833,2026-09-13,,https://images.weserv.nl/?url=https%3A%2F%2Fwww.nintendo.com%2Feu%2Fmedia%2Fimages%2F11_square_images%2Fgames_18%2Fnintendo_switch_5%2FSQ_NSwitch_SuperMarioOdyssey_Alt01_image500w.jpg&w=240,89.95,https://www.nintendo.com/us/store/products/super-mario-odyssey-switch/,Nintendo Switch,13,,239,30%,62,"Platformer, Action",84999,79.95,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_5/SQ_NSwitch_SuperMarioOdyssey_Alt01_image500w.jpg,279900,1129,329.9,https://www.metacritic.com/game/super-mario-odyssey/critic-reviews/?platform=nintendo-switch,Super Mario Odyssey™,,Nintendo,2017-10-27T00:00:00.000Z,super-mario-odyssey-switch,249.8,https://shope.ee/5ALD8alAHo,659,59.99,USD,1229,27,41.99,,6578,,329,229,69,1790
99.99,96,2026-09-27,/game/72589,2026-09-13,,https://images.weserv.nl/?url=https%3A%2F%2Fwww.nintendo.com%2Feu%2Fmedia%2Fimages%2F11_square_images%2Fgames_18%2Fnintendo_switch_5%2F1x1_NSwitch_TloZTearsOfTheKingdom_BASE_image500w.jpg&w=240,99.95,https://www.nintendo.com/us/store/products/the-legend-of-zelda-tears-of-the-kingdom-switch/,Nintendo Switch,59,,279,30%,243,"Adventure, Action, Role-playing",99199,89.95,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_5/1x1_NSwitch_TloZTearsOfTheKingdom_BASE_image500w.jpg,324900,1329,389.9,https://www.metacritic.com/game/the-legend-of-zelda-tears-of-the-kingdom/critic-reviews/?platform=nintendo-switch,The Legend of Zelda™: Tears of the Kingdom,,Nintendo,2023-05-12T00:00:00.000Z,the-legend-of-zelda-tears-of-the-kingdom-switch,289.8,https://shope.ee/5ALD8alAHo,769,69.99,USD,1449,116,48.99,2,7900,,399,269,79,2090
54.99,94,2026-09-27,,2026-09-13,,https://images.weserv.nl/?url=https%3A%2F%2Fwww.nintendo.com%2Feu%2Fmedia%2Fimages%2F11_square_images%2Fgames_18%2Fnintendo_switch_5%2F1x1_NSwitch_MetroidPrimeRemastered_image500w.jpg&w=240,69.95,https://www.nintendo.com/us/store/products/metroid-prime-remastered-switch/,Nintendo Switch,,,159,30%,,"Adventure, Action, First-person, Platformer",56699,59.95,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_5/1x1_NSwitch_MetroidPrimeRemastered_image500w.jpg,184900,729,219.9,https://www.metacritic.com/game/metroid-prime-remastered/critic-reviews/?platform=nintendo-switch,Metroid Prime™ Remastered,,Nintendo,2023-02-08T00:00:00.000Z,metroid-prime-remastered-switch,169.8,https://shope.ee/5ALD8alAHo,439,39.99,USD,819,,27.99,,4300,,219,159,49,1190
79.99,94,2026-10-06,/game/66630,2026-09-14,,https://images.weserv.nl/?url=https%3A%2F%2Fwww.nintendo.com%2Feu%2Fmedia%2Fimages%2F11_square_images%2Fgames_18%2Fnintendo_switch_download_software%2F1x1_NSwitchDS_Persona5Royal_image500w.jpg&w=240,112.95,https://www.nintendo.com/us/store/products/persona-5-royal-switch/,Nintendo Switch,101,,219,70%,142,Role-playing,17999,99.95,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_Persona5Royal_image500w.jpg,235999,1069,295,https://www.metacritic.com/game/persona-5-royal/critic-reviews/?platform=nintendo-switch,Persona 5 Royal,,SEGA,2022-10-21T00:00:00.000Z,persona-5-royal-switch,259,https://shope.ee/5ALD8alAHo,599,59.99,USD,1019,123,,8,,,,75.60,25.65,574
26.79,94,2026-09-25,,2026-09-15,,https://images.weserv.nl/?url=https%3A%2F%2Fwww.nintendo.com%2Feu%2Fmedia%2Fimages%2F11_square_images%2Fgames_18%2Fnintendo_switch_5%2FSQ_NSwitch_TheElderScrollsVSkyrim_image500w.jpg&w=240,33.98,https://www.nintendo.com/us/store/products/the-elder-scrolls-v-skyrim-switch/,Nintendo Switch,,,69.60,60%,,"Role-playing, Action",16999.60,29.98,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_5/SQ_NSwitch_TheElderScrollsVSkyrim_image500w.jpg,79960,343.60,99.96,https://www.metacritic.com/game/the-elder-scrolls-v-skyrim/critic-reviews/?platform=nintendo-switch,The Elder Scrolls V: Skyrim,,Bethesda,2017-11-17T00:00:00.000Z,the-elder-scrolls-v-skyrim-switch,87.60,https://shope.ee/5ALD8alAHo,219,49.99,USD,399.60,,19.99,8,2420,,,209,63.9,1650
33.49,92,2026-09-30,,2026-09-17,,https://images.weserv.nl/?url=https%3A%2F%2Fwww.nintendo.com%2Feu%2Fmedia%2Fimages%2Fassets%2Fnintendo_switch_2_games%2Ffinalfantasyviirebirth%2F1x1_FinalFantasyVIIRebirth_image500w.jpg&w=240,52.47,https://www.nintendo.com/us/store/products/final-fantasy-vii-rebirth-switch-2/,Nintendo Switch 2,,,85,50%,,,36249.50,42.47,https://www.nintendo.com/eu/media/images/assets/nintendo_switch_2_games/finalfantasyviirebirth/1x1_FinalFantasyVIIRebirth_image500w.jpg,95500,574.50,142.45,https://www.metacritic.com/game/final-fantasy-vii-rebirth/critic-reviews/?platform=nintendo-switch,FINAL FANTASY VII REBIRTH,,SQUARE ENIX,2026-06-03T00:00:00.000Z,final-fantasy-vii-rebirth-switch-2,129.50,https://shope.ee/5ALD8alAHo,324,49.99,USD,400,,24.99,23,6578,,,104.50,33.95,845
7.79,92,2026-10-02,/game/82946,2026-09-11,,https://images.weserv.nl/?url=https%3A%2F%2Fwww.nintendo.com%2Feu%2Fmedia%2Fimages%2F11_square_images%2Fgames_18%2Fnintendo_switch_download_software%2FSQ_NSwitchDS_AMonstersExpedition_image500w.jpg&w=240,8.69,https://www.nintendo.com/us/store/products/a-monsters-expedition-switch/,Nintendo Switch,9,,12.90,70%,33,"Puzzle, Adventure, Other",4799.99,8.85,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_AMonstersExpedition_image500w.jpg,14250,55.50,17.99,https://www.metacritic.com/game/a-monsters-expedition/critic-reviews/?platform=nintendo-switch,A Monster's Expedition,,Draknek,2021-08-05T00:00:00.000Z,a-monsters-expedition-switch,27.59,https://shope.ee/5ALD8alAHo,66,19.99,USD,68.39,16,5.99,4,690,,,,,
84.99,92,2026-09-27,/game/43480,2026-09-13,,https://images.weserv.nl/?url=https%3A%2F%2Fwww.nintendo.com%2Feu%2Fmedia%2Fimages%2F11_square_images%2Fgames_18%2Fnintendo_switch_5%2FSQ_NSwitch_MarioKart8Deluxe_image500w.jpg&w=240,89.95,https://www.nintendo.com/us/store/products/mario-kart-8-deluxe-switch/,Nintendo Switch,6,,239,30%,53,"Racing, Multiplayer, Other",84999,79.95,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_5/SQ_NSwitch_MarioKart8Deluxe_image500w.jpg,279900,1129,329.9,https://www.metacritic.com/game/mario-kart-8-deluxe/critic-reviews/?platform=nintendo-switch,Mario Kart™ 8 Deluxe,,Nintendo,2017-04-28T00:00:00.000Z,mario-kart-8-deluxe-switch,249.8,https://shope.ee/5ALD8alAHo,659,59.99,USD,1229,22,41.99,10,6578,,329,229,69,1790
84.99,92,2026-09-27,/game/130444,2026-09-13,,https://images.weserv.nl/?url=https%3A%2F%2Fwww.nintendo.com%2Feu%2Fmedia%2Fimages%2F11_square_images%2Fgames_18%2Fnintendo_switch_5%2F1x1_NSwitch_SuperMarioBrosWonder_image500w.jpg&w=240,89.95,https://www.nintendo.com/us/store/products/super-mario-bros-wonder-switch/,Nintendo Switch,10,,239,30%,19,"Platformer, Action",84999,79.95,https://www.nintendo.com/eu/media/images/11_square_images/games_18/nintendo_switch_5/1x1_NSwitch_SuperMarioBrosWonder_image500w.jpg,279900,1129,329.9,https://www.metacritic.com/game/super-mario-bros-wonder/critic-reviews/?platform=nintendo-switch,Super Mario Bros.™ Wonder,,Nintendo,2023-10-20T00:00:00.000Z,super-mario-bros-wonder-switch,249.8,https://shope.ee/5ALD8alAHo,659,59.99,USD,1229,13,41.99,3,6500,,,229,69,1790
