SCORE,OpenCriticURL,SaleEnds,SaleStarted,LowestPrice,MainStory,MainExtra,Completionist,PlusPrice,PlusDiscount,PlusPercentOff,Publisher,ReleaseDate,genre,PercentOff,Title,OriginalTitle,Slug,id,Image,IsPS4,IsPS5,Popularity,CampaignName,CampaignCategoryId,Region,url,platform,ESRBRating,MexPrice,idPrice,idSalePrice,inPrice,inSalePrice,sgPrice,sgSalePrice,trPrice,trSalePrice,usPrice,usSalePrice,hkPrice,hkSalePrice
96,https://www.metacritic.com/game/baldurs-gate-3,2026-10-07T14:59:00.000Z,2026-09-23,/game/68033,68,112,161,,,,,0000-00-00,Role Playing Games,30%,Baldur's Gate 3,"Baldur's Gate 3 (Simplified Chinese, English, Japanese, Traditional Chinese)",baldurs-gate-3-ps5,HP3470-PPSA14486_00-0137097724824368,https://image.api.playstation.com/vulcan/ap/rnd/202302/2321/ba706e54d68d10a0eb6ab7c36cdad9178c58b7fb7bb03d28.png?w=200,0,1,8,cat.gma.Autumn_Adventures_26_New,1eda2d3d-2420-4522-9c9d-4b7491f91f4f,en-id,https://store.playstation.com/en-id/product/HP3470-PPSA14486_00-0137097724824368,Playstation,TRD,null,920190,644133,5827,4078,81.39,56.97,2.49900,1.74930,69.99,48.99,468.00,327.60
94,https://www.metacritic.com/game/the-witcher-3-wild-hunt-complete-edition,2026-10-07T14:59:00.000Z,2026-09-23,,,,,,,,,0000-00-00,"Action, Role Playing Games",50%,The Witcher 3: Wild Hunt – Complete Edition,"The Witcher 3: Wild Hunt – Complete Edition (Simplified Chinese, English, Korean, Traditional Chinese)",the-witcher-3-wild-hunt-complete-edition-ps4-ps5,EP4497-PPSA03977_00-00000000000GOTY8,https://image.api.playstation.com/vulcan/ap/rnd/202211/0714/S1jCzktWD7XJSRkz4kNYNVM0.png?w=200,1,1,49,cat.gma.Autumn_Adventures_26_New,1eda2d3d-2420-4522-9c9d-4b7491f91f4f,en-id,https://store.playstation.com/en-id/product/EP4497-PPSA03977_00-00000000000GOTY8,Playstation,TRD,null,755000,377500,2999,1499,68.70,34.35,2.14900,1.07450,49.99,24.99,308.00,154.00
93,https://www.metacritic.com/game/hades,2026-10-07T22:59:00.000Z,2026-09-23,/game/62941,23,48,95,,,,,0000-00-00,Action,70%,Hades,Hades,hades-ps4-ps5,EP4484-PPSA03711_00-3235764131417729,https://image.api.playstation.com/vulcan/ap/rnd/202104/0517/9AcM3vy5t77zPiJyKHwRfnNT.png?w=200,1,1,25,cat.gma.x_Deals,322ea58b-1a57-4586-93e0-286d1e926394,en-in,https://store.playstation.com/en-in/product/EP4484-PPSA03711_00-3235764131417729,Playstation,TRD,null,,,1749,524,,,87900,26370,24.99,7.49,,
93,https://www.metacritic.com/game/persona-5,2026-10-07T22:59:00.000Z,2026-09-23,,,,,,,,,0000-00-00,Role Playing Games,85%,Persona 5,Persona 5,persona-5-ps4,EP4062-CUSA06638_00-PERSONA512345678,https://image.api.playstation.com/cdn/EP4062/CUSA06638_00/0fSaYhFhEVP183JLTwVec7qkzmaHNMS2.png?w=200,1,0,14,cat.gma.x_Deals,322ea58b-1a57-4586-93e0-286d1e926394,en-in,https://store.playstation.com/en-in/product/EP4062-CUSA06638_00-PERSONA512345678,Playstation,TRD,null,,,3499,524,,,1.49900,22485,19.99,5.99,,
93,https://www.metacritic.com/game/hades-ii,2026-10-07T22:59:00.000Z,2026-09-23,,,,,,,,,0000-00-00,Action,30%,Hades II,Hades II,hades-ii-ps5,EP4484-PPSA36082_00-0912328937643383,https://image.api.playstation.com/vulcan/ap/rnd/202603/2318/cabc65dfd2ab1ffa31f51b20b7128ac69491ea9858c0daa3.png?w=200,0,1,11,cat.gma.Autumn_Adventures_26_New,fc461e2d-f0a2-4b15-bf1f-73a825efca1c,en-in,https://store.playstation.com/en-in/product/EP4484-PPSA36082_00-0912328937643383,Playstation,TRD,null,,,2497,1747,,,1.29900,90930,29.99,20.99,,
91,https://www.metacritic.com/game/nier-automata-game-of-the-yorha-edition,2026-10-07T14:59:00.000Z,2026-09-23,,,,,,,,,0000-00-00,"Action, Role Playing Games",60%,NieR:Automata Game of the YoRHa Edition,NieR:Automata Game of the YoRHa Edition (English/Chinese/Korean/Japanese Ver.),nier-automata-game-of-the-yorha-edition-ps4,HP0082-CUSA06592_00-0000000000000000,https://image.api.playstation.com/cdn/HP0082/CUSA06592_00/O9k8kwZ1hbPiFTXYN2DJ2G5XxLik6gJEBd19vNPN1jSAJIVyD9fgxrkdkUIiErJw.png?w=200,1,0,6,cat.gma.Autumn_Adventures_26_New,1eda2d3d-2420-4522-9c9d-4b7491f91f4f,en-id,https://store.playstation.com/en-id/product/HP0082-CUSA06592_00-0000000000000000,Playstation,TRD,null,581640,232656,,,55.51,22.20,,,,,308.00,123.20
91,https://www.metacritic.com/game/dave-the-diver,2026-10-07T14:59:00.000Z,2026-09-23,/game/115577,24,32,47,,,,,0000-00-00,Adventure,45%,DAVE THE DIVER,"DAVE THE DIVER (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)",dave-the-diver-ps4-ps5,UP8236-PPSA19115_00-0015587721224151,https://image.api.playstation.com/vulcan/ap/rnd/202401/2508/f194dc023adef481689d90db93f343b73f5b4c5741925556.png?w=200,1,1,17,cat.gma.Autumn_Adventures_26_New,1eda2d3d-2420-4522-9c9d-4b7491f91f4f,en-id,https://store.playstation.com/en-id/product/UP8236-PPSA19115_00-0015587721224151,Playstation,TRD,null,154290,84859,1664,915,28.42,15.63,69900,38445,19.99,10.99,108.00,59.40
91,https://www.metacritic.com/game/lorelei-and-the-laser-eyes,2026-10-07T14:59:00.000Z,2026-09-23,,,,,,,,,0000-00-00,Puzzle,50%,Lorelei and the Laser Eyes,"Lorelei and the Laser Eyes (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",lorelei-and-the-laser-eyes-ps4-ps5,HP2418-PPSA23816_00-LORELEISIEJA0000,https://image.api.playstation.com/vulcan/ap/rnd/202411/1119/eff9b4df9692ab8e6b7e1588b4665d3ac63dde570d11385b.png?w=200,1,1,3,cat.gma.Autumn_Adventures_26_New,1eda2d3d-2420-4522-9c9d-4b7491f91f4f,en-id,https://store.playstation.com/en-id/product/HP2418-PPSA23816_00-LORELEISIEJA0000,Playstation,TRD,null,387390,193695,1997,998,35.54,17.77,83900,41950,24.99,12.49,198.00,99.00
91,https://www.metacritic.com/game/celeste,2026-10-07T22:59:00.000Z,2026-09-23,,,,,,,,,0000-00-00,Action,75%,Celeste,Celeste,celeste-ps4,EP2120-CUSA11235_00-CELESTEXXCELESTE,https://image.api.playstation.com/cdn/EP2120/CUSA11235_00/c439UdvQsGkHpQ04PGyPh7rwGfXwLtne.png?w=200,1,0,,cat.gma.x_Deals,322ea58b-1a57-4586-93e0-286d1e926394,en-in,https://store.playstation.com/en-in/product/EP2120-CUSA11235_00-CELESTEXXCELESTE,Playstation,TRD,null,,,1664,416,,,84900,21225,19.99,4.99,,
90,https://www.metacritic.com/game/minishoot-adventures,2026-10-07T14:59:00.000Z,2026-09-23,,,,,,,,,0000-00-00,Adventure,35%,Minishoot' Adventures,"Minishoot' Adventures (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",minishoot-adventures-ps5,EP4425-PPSA34242_00-PEWPEWPEWPEWPEEW,https://image.api.playstation.com/vulcan/ap/rnd/202509/1208/5539a2fe5e8a645080c694868f7b94b531b3900e7fed16a9.png?w=200,0,1,2,cat.gma.PlayStationIndies,976c3cf7-8dc9-46fb-8691-4603b98224cb,en-id,https://store.playstation.com/en-id/product/EP4425-PPSA34242_00-PEWPEWPEWPEWPEEW,Playstation,TRD,null,220890,143578,1248,811,20.27,13.17,64900,42185,15.99,10.39,108.00,70.20
90,https://www.metacritic.com/game/balatro,2026-10-07T14:59:00.000Z,2026-09-23,/game/132112,7,39,188,,,,,0000-00-00,Strategy,15%,Balatro,"Balatro (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",balatro-ps4-ps5,UP3639-PPSA21401_00-0767712965312971,https://image.api.playstation.com/vulcan/ap/rnd/202401/2218/d8c5d5861249cd80a300efb723450f56d0347e4345e2eb80.png?w=200,1,1,,cat.gma.PlayStationIndies,976c3cf7-8dc9-46fb-8691-4603b98224cb,en-id,https://store.playstation.com/en-id/product/UP3639-PPSA21401_00-0767712965312971,Playstation,TRD,null,154290,131146,1099,934,13.14,11.16,52900,44965,14.99,12.74,108.00,91.80
