SCORE,SaleEnds,description,SaleStarted,LowestPrice,Image,MainStory,platform,URL,Trailer,PercentOff,Completionist,genre,PlusPrice,MexPrice,OpenCriticURL,Title,ESRBRating,Publisher,ReleaseDate,Slug,NumberofPlayers,IsPS5,Price,MainExtra,SalePrice,IsPS4
91,2023-11-01,"Previous special offer price valid from 13-09-2023 to 27-09-2023 was (£8.74 / €9.99 / AU $13.73 / BGN 19.97 / CZK 262.25 / DKK 74.75 / HUF 3497 / NZ $17.48 / NOK 99.75 / PLN 42.25 / SEK 104.75 / USD $8.74 / ZAR 179.75 / HRK 74.75 / INR 624 / TRY 87.25 / ILS 39.75) If you already own the PS4™ version of this game, you can get the PS5™ digital version at no extra cost and you do not need to purchase this product. Owners of a PS4™ disc copy must insert it into the PS5™ every time they want to download or play the PS5™ digital version. PS4™ game disc owners who buy the PS5™ Digital Edition disc-free console will not be able to get the PS5™ version at no extra cost. Originally released in 1998, Resident Evil 2, one of the most iconic games of all time, returns completely reimagined for next-gen consoles. Play individual campaigns for both Leon Kennedy and Claire Redfield using an all new 3rd person view as you explore the zombie infested areas of Raccoon City, now stunningly re-built using Capcom’s proprietary RE Engine. New puzzles, storylines and areas mean both new and seasoned fans will find horrifying new surprises await them!",2023-10-17,/game/7718,https://image.api.playstation.com/vulcan/ap/rnd/202206/0204/uDFoGvnMTTCLVmTwjj0njGWC.png?w=200,6,Playstation,https://store.playstation.com/en-tr/product/EP0102-PPSA04289_00-BH2R000000000001,https://www.youtube.com/watch?v=ZcW6W-xVl-8,75%,15,"Action, Adventure, Horror",87.25,https://image.api.playstation.com/vulcan/ap/rnd/202206/0204/uDFoGvnMTTCLVmTwjj0njGWC.png,https://www.metacritic.com/game/resident-evil-2/critic-reviews/?platform=playstation-4,RESIDENT EVIL 2,TRD,CE EUROPE LIMITED,2022-06-13,resident-evil-2-ps4&ps5-tr,https://shope.ee/fyuaQETr8,1,349,9,87.25,1
90,2023-11-01,"Dive into the next chapter of the critically acclaimed FINAL FANTASY XIV Online with the latest expansion pack — ENDWALKER! Experience the climax of the Hydaelyn and Zodiark story, and encounter an even greater calamity than ever before as you travel to the far reaches of Hydaelyn and even to the moon. Journey to the very stars above and join 27 million players worldwide! New Key Features • New jobs: Sage and Reaper • A new playable race: male Viera • Level cap increase from 80 to 90 • New cities: Old Sharlayan and Radz-at-Han • Travel to expansive new areas, including Labyrinthos, Thavnair, Garlemald, and Mare Lamentorum • New tribes to encounter: Loporrits and the Arkasodara • New threats to overcome, including Anima and the Magus Sisters • New dungeons • A new high-difficulty raid: Pandæmonium • A new alliance raid series: Myths of the Realm • New small-scale PvP mode • An additional Trust ally: Estinien Wyrmblood • A new residential district: Ishgard • Updates to the Gold Saucer • Relaxing fun in Island Sanctuary • New gear and crafting recipes • Expanded horizons via the Data Center Travel System IMPORTANT: • This product is a FINAL FANTASY XIV expansion pack that requires FINAL FANTASY XIV Online Starter Edition (A Realm Reborn) to play. • All editions of the game require user registration. All editions of the game other than the Free Trial require an active paid subscription to play. • This product also includes Shadowbringers expansion packs. • Please visit the FINAL FANTASY XIV website at https://www.finalfantasyxiv.com/ for additional information.",2023-10-17,/game/88046,https://image.api.playstation.com/vulcan/img/rnd/202105/1414/4IfMDkNronZoUUWW6KeHxz2I.png?w=200,49,Playstation,https://store.playstation.com/en-tr/product/EP0082-PPSA02955_00-C0EX04SET0000000,https://www.youtube.com/watch?v=7-bkJ2ZoW6k,50%,264,"Role Playing Games, Role Playing Games",159.5,https://image.api.playstation.com/vulcan/img/rnd/202105/1414/4IfMDkNronZoUUWW6KeHxz2I.png,https://www.metacritic.com/game/final-fantasy-xiv-endwalker/critic-reviews/?platform=playstation-5,FINAL FANTASY XIV: Endwalker [PS4 & PS5],TRD,Square Enix LTD,2021-12-06,final-fantasy-xiv-endwalker-ps4--ps5-ps4&ps5-tr,https://shope.ee/8ze2W0pIJs,1,319,88,159.5,1
89,2023-11-01,"Previous special offer price valid from 13-09-2023 to 27-09-2023 was (£13.99 / €15.99 / AU $25.18 / BGN 31.96 / CZK 419.6 / DKK 119.6 / HUF 5596 / NZ $27.98 / NOK 175.6 / PLN 67.6 / SEK 167.6 / USD $13.99 / ZAR 287.6 / HRK 119.6 / INR 999 / TRY 139.6 / ILS 63.6) DEVIL MAY CRY IS BACK, BABY!! The legendary stylish action game is better than ever in the ultimate version of this multi-award winning hit. New features: - New playable character - Dante's brother and arch-rival, Vergil - Legendary Dark Knight mode - an extremely challenging horde mode featuring huge numbers of enemies - Turbo mode - make the game even more intense by playing at 1.2x speed - Ray-tracing support - this next-generation graphics technology brings the already near-photorealistic world of DMC5 to a new level of unparalleled visual splendour - High Frame-Rate mode - experience super-smooth action These new features and modes utilise the power of PlayStation®5 to bring you the craziest, sexiest, most stylish Devil May Cry experience ever!! Note: Certain trophies cannot be acquired while playing as Vergil.",2023-10-17,,https://image.api.playstation.com/vulcan/ap/rnd/202009/1710/UUnpHLJqLAIJX5HioswiPuAm.png?w=200,,Playstation,https://store.playstation.com/en-tr/product/EP0102-PPSA01443_00-DMC5SE0000000001,https://www.youtube.com/watch?v=4mT1N4yIYUo,60%,,Action,0,https://image.api.playstation.com/vulcan/ap/rnd/202009/1710/UUnpHLJqLAIJX5HioswiPuAm.png,https://www.metacritic.com/game/devil-may-cry-5-special-edition/critic-reviews/?platform=playstation-5,Devil May Cry 5 Special Edition,TRD,CE EUROPE LIMITED,2020-11-11,devil-may-cry-5-special-edition-ps5-tr,https://shope.ee/B2e0PBMUn,1,349,,139.6,0
88,2023-11-01,"Previous special offer price valid from 13-09-2023 to 27-09-2023 was (£19.79 / €23.99 / AU $35.97 / BGN 47.94 / CZK 629.4 / DKK 179.4 / HUF 8394 / NZ $38.37 / NOK 239.4 / PLN 107.4 / SEK 251.4 / USD $26.99 / ZAR 431.4 / HRK 179.99 / INR 1998 / TRY 239.4 / ILS 95.4) Monster Hunter Rise: Sunbreak expansion The world of Monster Hunter Rise gets bigger and deeper with this massive expansion featuring new monsters, new locales and more! A new adventure in a distant land Renowned as the Fierce Flame of Kamura” since the events of Monster Hunter Rise, you must set sail to uncover the cause of a terrible threat facing a kingdom across the sea! New enemies arrive, old foes return Arriving in Elgado Outpost, you discover that the abnormal events threatening this kingdom are caused by Malzeno, Lunagaron and Garangolm – terrifying monsters known locally as the Three Lords. In addition to these new enemies, You must also face old foes as series monsters not featured in Monster Hunter Rise make their return! Deeper gameplay Your trusty Wirebug returns and is more useful than ever, with the addition of new abilities for all 14 weapon types that bring a new level of flexibility and depth to the hunting action. A colourful cast of characters Your new base of operations features a variety of locals to interact with, each with their own charming personality. Sometimes they will need your hunter’s help, and sometimes they will be the ones who help you out! Note: You must own Monster Hunter Rise in order to play this expansion. Sunbreak content is accessible after completion of the 7-star Hub quest “Serpent Goddess of Thunder”. If you purchase this content while the game is open, you must restart the game in order to access the content. *This content is also available as part of one or more bundles. Please check your previous purchases to avoid duplication. This product entitles you to download both the digital PS4™ version and the digital PS5™ version of this game.",2023-10-17,/game/104085,https://image.api.playstation.com/vulcan/ap/rnd/202302/1604/93a5df0c1d706e7bf4235d4a97f2d955df7691ba6ebaacee.png?w=200,32,Playstation,https://store.playstation.com/en-tr/product/EP0102-PPSA08035_00-MASSIVEEXPANSION,https://www.youtube.com/watch?v=wPjbAxaS_mE,25%,312,"Action, Role Playing Games",299.25,https://image.api.playstation.com/vulcan/ap/rnd/202302/1604/93a5df0c1d706e7bf4235d4a97f2d955df7691ba6ebaacee.png,https://www.metacritic.com/game/monster-hunter-rise-sunbreak/critic-reviews/?platform=playstation-5,Monster Hunter Rise: Sunbreak,TRD,CE EUROPE LIMITED,2023-04-27,monster-hunter-rise-sunbreak-ps4&ps5-tr,https://shope.ee/2q3P9sk69i,1,399,93,299.25,1
87,2023-11-01,"Previous special offer price valid from 13-09-2023 to 27-09-2023 was (£16.49 / €19.99 / AU $29.97 / BGN 39.95 / CZK 524.5 / DKK 149.5 / HUF 6995 / NZ $31.97 / NOK 199.5 / PLN 89.5 / SEK 209.5 / USD $22.49 / ZAR 359.5 / HRK 149.99 / INR 1665 / TRY 199.5 / ILS 79.5) This product entitles you to download both the digital PS4™ version and the digital PS5™ version of this game. Rise to the challenge and join the hunt! In Monster Hunter Rise, the latest installment in the award-winning and top-selling Monster Hunter series, you’ll become a hunter, explore brand new maps and use a variety of weapons to take down fearsome monsters as part of an all-new storyline. Ferocious monsters with unique ecologies Hunt down a plethora of monsters with distinct behaviors and deadly ferocity. From classic returning monsters to all-new creatures inspired by Japanese folklore, including the flagship wyvern Magnamalo, you’ll need to think on your feet and master their unique tendencies if you hope to reap any of the rewards! Choose your weapon and show your skills Wield 14 different weapon types that offer unique gameplay styles, both up-close and from long range. Charge up and hit hard with the devastating Great Sword; dispatch monsters in style using the elegant Long Sword; become a deadly maelstrom of blades with the speedy Dual Blades; charge forth with the punishing Lance; or take aim from a distance with the Bow and Bowguns. These are just a few of the weapon types available in the game, meaning you’re sure to find the play style that suits you best. Hunt, gather and craft your way to the top of the food chain Each monster you hunt will provide materials that allow you to craft new weapons and armor and upgrade your existing gear. Go back out on the field and hunt even fiercer monsters and earn even better rewards! You can change your weapon at any of the Equipment Boxes any time, so the possibilities are limitless! Hunt solo or team up to take monsters down The Hunter Hub offers multiplayer quests where up to four players can team up to take on targets together. Difficulty scaling ensures that whether you go solo or hit the hunt as a full four-person squad, it’s always a fair fight. Enjoy an exciting new storyline set in Kamura Village This serene locale is inhabited by a colorful cast of villagers who have long lived in fear of the Rampage - a catastrophic event where countless monsters attack the village all at once. 50 years after the last Rampage, you must work together with the villagers to face this trial. Experience new hunting actions with the Wirebug Wirebugs are an integral part of your hunter’s toolkit. The special silk they shoot out can be used to zip up walls and across maps, and can even be used to pull off special attacks unique to each of the 14 weapon types in the game. Buddies are here to help The Palico Felyne friends you already know and love from previous Monster Hunter adventures are joined by the brand new Palamute Canyne companions! Wreak havoc by controlling monsters Control raging monsters using Wyvern Riding and dish out massive damage to your targets! Fend off hordes of monsters in The Rampage Protect Kamura Village from hordes of monsters in an all-new quest type! Prepare for monster hunting on a scale like never before! *This content is also available as part of one or more bundles. Please check your previous purchases to avoid duplication.",2023-10-17,/game/83169,https://image.api.playstation.com/vulcan/ap/rnd/202211/1504/KzeHCTuoWLV4Cl7wkDA2YwCo.png?w=200,21,Playstation,https://store.playstation.com/en-tr/product/EP0102-PPSA08035_00-FULLGAME000000EU,https://www.youtube.com/watch?v=a6C5lH5b-f4,50%,164,"Action, Role Playing Games",199.5,https://image.api.playstation.com/vulcan/ap/rnd/202211/1504/KzeHCTuoWLV4Cl7wkDA2YwCo.png,https://www.metacritic.com/game/monster-hunter-rise/critic-reviews/?platform=playstation-5,Monster Hunter Rise PS4 & PS5,TRD,CE EUROPE LIMITED,2023-01-19,monster-hunter-rise-ps4--ps5-ps4&ps5-tr,https://shope.ee/2fjyxo5XpC,1,399,76,199.5,1
87,2023-11-01,"From the creator of Pony Island and The Hex comes the latest mind-melting, self-destructing love letter to video games. Inscryption is an inky black card-based odyssey that blends the deckbuilding roguelike, escape-room style puzzles, and psychological horror into a blood-laced smoothie. Darker still are the secrets inscrybed upon the cards... In Inscryption you will... Acquire a deck of woodland creature cards by draft, surgery, and self-mutilation. Unlock the secrets lurking behind the walls of Leshy's cabin. Embark on an unexpected and deeply disturbing odyssey.",2023-10-17,/game/91622,https://image.api.playstation.com/vulcan/ap/rnd/202206/1621/OEZOTYnG11FGrewAwYdJ3EQF.png?w=200,12,Playstation,https://store.playstation.com/en-tr/product/EP3643-PPSA07023_00-4852126409539921,https://www.youtube.com/watch?v=NnDCRmLDakw,40%,23,"Adventure, Strategy",0,https://image.api.playstation.com/vulcan/ap/rnd/202206/1621/OEZOTYnG11FGrewAwYdJ3EQF.png,https://www.metacritic.com/game/inscryption/critic-reviews/?platform=playstation-5,Inscryption,TRD,Devolver Digital,2022-08-30,inscryption-ps4&ps5-tr,https://shope.ee/2q3PAHRGjY,1,199,15,119.4,1
87,2023-11-01,"Bethesda Game Studios, the award-winning creators of Fallout 3 and Skyrim, welcomes you to the world of Fallout 4 . Winner of more than 50 Game of the Year awards, including top honors at the 2016 D.I.C.E. Awards. Fallout 4 is the studio’s most ambitious game ever and the next generation of open-world gaming. As the sole survivor of Vault 111, you enter a world destroyed by nuclear war. Only you can rebuild and determine the fate of the Wasteland. Welcome home.",2023-10-17,/game/26729,https://image.api.playstation.com/vulcan/ap/rnd/202009/2419/BWMVfyxONkIAlAJVQd96qPuN.png?w=200,26,Playstation,https://store.playstation.com/en-tr/product/EP1003-CUSA02961_00-FALLOUT4FULLGAME,https://www.youtube.com/watch?v=2Xer46PlBlc,75%,158,Role-Playing,0,https://image.api.playstation.com/vulcan/ap/rnd/202009/2419/BWMVfyxONkIAlAJVQd96qPuN.png,https://www.metacritic.com/game/fallout-4/critic-reviews/?platform=playstation-4,Fallout 4,TRD,Bethesda,2015-11-09,fallout-4-ps4-tr,https://shope.ee/4fV3NpvwcS,0,199,81,49.75,1
86,2023-11-01,"Previous special offer price valid from 13-10-2023 to 16-10-2023 was (£18.84 / €22.74 / AU $34.41 / BGN 44.13 / CZK 538.85 / DKK 168.35 / HUF 7923 / NZ $37.01 / NOK 226.85 / PLN 103.35 / SEK 239.85 / USD $25.99 / ZAR 408.85 / HRK 168.99 / INR 1893 / TRY 408.85 / ILS 90.35) The Cult of the Lamb: Heretic Edition includes the base game, Cultist Pack, and Heretic Pack. Cult of the Lamb casts players in the role of a possessed lamb saved from annihilation by an ominous stranger and must repay their debt by building a loyal following in his name. Start your own cult in a land of false prophets, venturing out into diverse and mysterious regions to build a loyal community of woodland worshippers and spread your Word to become the one true cult. BUILD YOUR FLOCK Collect and use resources to build new structures, perform dark rituals to appease the gods, and give sermons to reinforce the faith of your flock. DESTROY THE NON-BELIEVERS Explore a sprawling, randomly generated world, fight off hordes of enemies and defeat rival cult leaders in order to absorb their power and assert your cult's dominance. SPREAD YOUR WORD Train your flock and embark on a quest to explore and discover the secrets of four mysterious regions. Cleanse the non-believers, spread enlightenment, and perform mystical rituals on the journey to become the mighty lamb god. Cultist Pack Be the envy of every cult with this exclusive Cultist Pack that includes a seven-piece decoration pack for your charming commune, as well as five exclusive Follower forms. Heretic Pack Show your devotion to the Old Faith with Cult of the Lamb - Heretic Pack. This cosmetic set includes new Follower forms, a set of dastardly decorations for your Cult, and Fleece of the Old Faith for the Lamb to wear. If your Cult aesthetic is (even more) blood, death, and doom, this pack is for you! Cult of the Lamb: Heretic Pack includes: - 5 brand new follower forms: Moose, Gorilla, Goldfish, Mosquito, and Opossum. - 8 new base decorations. - A heretical new Fleece for the Lamb!",2023-10-17,/game/97313,https://image.api.playstation.com/vulcan/ap/rnd/202305/0118/8b2a8f7a219ae95f75d9b2000fb7a6459fd1bbe7da4c3d12.png?w=200,13,Playstation,https://store.playstation.com/en-tr/product/EP3643-PPSA06465_00-0382434293330577,https://www.youtube.com/watch?v=6uM7CQGZ6rE,30%,23,"Action, Adventure, Strategy",377.4,https://image.api.playstation.com/vulcan/ap/rnd/202305/0118/8b2a8f7a219ae95f75d9b2000fb7a6459fd1bbe7da4c3d12.png,https://www.metacritic.com/game/cult-of-the-lamb/critic-reviews/?platform=playstation-5,Cult of the Lamb,TRD,Devolver Digital,2023-05-24,cult-of-the-lamb-ps4&ps5-tr,https://shope.ee/6zsy7UVNZb,1,629,17,440.3,1
86,2023-11-01,"Previous special offer price valid from 13-09-2023 to 27-09-2023 was (£6.39 / €7.99 / AU $9.98 / BGN 15.96 / CZK 211.6 / DKK 59.6 / HUF 2836 / NZ $13.98 / NOK 79.6 / PLN 35.6 / SEK 83.6 / USD $7.19 / ZAR 143.6 / HRK 59.6 / INR 599 / TRY 71.6 / ILS 31.6) If you already own the PS4™ version of this game, you can get the PS5™ digital version at no extra cost and you do not need to purchase this product. Owners of a PS4™ disc copy must insert it into the PS5™ every time they want to download or play the PS5™ digital version. PS4™ game disc owners who buy the PS5™ Digital Edition disc-free console will not be able to get the PS5™ version at no extra cost. Menace and isolation seethe through the rotting walls of an abandoned farmhouse in the American South. '7' marks a new beginning for survival horror, and a full model change to the frightening and immersive 'Isolated View 'player perspective. Powered by the cutting-edge RE Engine, horror reaches new heights of photorealism so overwhelming you won't be able to turn away. Enter a terrifyingly new world of horror and survive. Resident Evil 7™ biohazard supports PlayStation?VR, for the ultimate immersive survival horror experience. ----------------------------- In addition, on PS5™ consoles: PlayStation Camera adaptor for PS Camera is required (no purchase necessary) go to Playstation.com/camera-adaptor. Note: In order to use the VR features of this game, you must play it on a PS4.",2023-10-17,,https://image.api.playstation.com/vulcan/ap/rnd/202206/0207/V6IViuKogBMRtajqjnYrcj0e.png?w=200,,Playstation,https://store.playstation.com/en-tr/product/EP0102-PPSA04401_00-BH70000000000001,https://www.youtube.com/watch?v=gjqh-BPYU7U,60%,,"Action, Adventure",71.6,https://image.api.playstation.com/vulcan/ap/rnd/202206/0207/V6IViuKogBMRtajqjnYrcj0e.png,https://www.metacritic.com/game/resident-evil-7-biohazard/critic-reviews/?platform=playstation-4,RESIDENT EVIL 7 biohazard,TRD,CE EUROPE LIMITED,2022-06-13,resident-evil-7-biohazard-ps4&ps5-tr,https://shope.ee/2fjyy8arBY,1,179,,71.6,1
86,1990-01-01,"Previous special offer price valid from 13-09-2023 to 27-09-2023 was (£6.39 / €7.99 / AU $9.98 / BGN 15.96 / CZK 211.6 / DKK 59.6 / HUF 2836 / NZ $13.98 / NOK 79.6 / PLN 35.6 / SEK 83.6 / USD $7.19 / ZAR 143.6 / HRK 59.6 / INR 599 / TRY 71.6 / ILS 31.6) Menace and isolation seethe through the rotting walls of an abandoned farmhouse in the American South. '7' marks a new beginning for survival horror, and a full model change to the frightening and immersive 'Isolated View 'player perspective. Powered by the cutting-edge RE Engine, horror reaches new heights of photorealism so overwhelming you won't be able to turn away. Enter a terrifyingly new world of horror and survive. Resident Evil 7™ biohazard supports PlayStation?VR, for the ultimate immersive survival horror experience. ----------------------------- In addition, on PS5™ consoles: PlayStation Camera adaptor for PS Camera is required (no purchase necessary) go to Playstation.com/camera-adaptor.",1989-12-17,,https://image.api.playstation.com/cdn/EP0102/CUSA03842_00/I11rr6PmRaSQoXNs30lzeXs1AA1SEAwV.png?w=200,,Playstation,https://store.playstation.com/en-tr/product/EP0102-CUSA03842_00-BH70000000000001,https://www.youtube.com/watch?v=gjqh-BPYU7U,0,,"Action, Adventure, Horror",0,https://image.api.playstation.com/cdn/EP0102/CUSA03842_00/I11rr6PmRaSQoXNs30lzeXs1AA1SEAwV.png,https://www.metacritic.com/game/resident-evil-7-biohazard/critic-reviews/?platform=playstation-4,RESIDENT EVIL 7 biohazard,TRD,CE EUROPE LIMITED,2017-01-23,resident-evil-7-biohazard-ps4-tr,https://shope.ee/2fjyy8arBY,0,0,,0,1
