SCORE,SaleEnds,description,SaleStarted,LowestPrice,Image,MainStory,platform,URL,Trailer,PercentOff,Completionist,genre,PlusPrice,MexPrice,OpenCriticURL,Title,ESRBRating,Publisher,ReleaseDate,Slug,NumberofPlayers,IsPS5,Price,MainExtra,SalePrice,IsPS4
tbd,2023-11-28,"Includes exclusive Haunted Hogsmeade Shop Quest which grants access to an additional dungeon, Shopkeeper's Cosmetic Set, and in-game Hogsmeade shop. Hogwarts Legacy is an open-world action RPG set in the world first introduced in the Harry Potter books. Embark on a journey through familiar and new locations as you explore and discover magical beasts, customize your character and craft potions, master spell casting, upgrade talents and become the wizard you want to be. Experience Hogwarts in the 1800s. Your character is a student who holds the key to an ancient secret that threatens to tear the wizarding world apart. Make allies, battle Dark wizards, and ultimately decide the fate of the wizarding world. Your legacy is what you make of it. Live the Unwritten.",2023-11-13,/game/83145,https://image.api.playstation.com/vulcan/ap/rnd/202208/0921/dR9KJAKDW2izPbptHQbh3rnj.png?w=200,26,Playstation,https://store.playstation.com/en-us/product/UP1018-CUSA12824_00-HOGWARTSLEGACY01,https://www.youtube.com/watch?v=BsC-Rl9GYy0,40%,67,Unique,999999,https://image.api.playstation.com/vulcan/ap/rnd/202208/0921/dR9KJAKDW2izPbptHQbh3rnj.png,https://www.metacritic.com/game/hogwarts-legacy/critic-reviews/?platform=playstation-4,Hogwarts Legacy PS4 Version,USD,Warner Bros. Interactive,2023-05-05,hogwarts-legacy-ps4-version-ps4-us,https://shope.ee/4pp5q83Inq,0,59.99,43,35.99,1
tbd,2023-11-28,"Welcome to Disney Dreamlight Valley's early access! Show your love for Disney with exclusive outfits that celebrate the classic Disney Parks themes, along with beloved characters such as Mickey Mouse. This Founder's Pack grants early access to the game and contains exclusive items. Disney Dreamlight Valley is a hybrid between a life-sim and an adventure game rich with quests, exploration, and engaging activities featuring Disney and Pixar friends, both old and new. Once an idyllic land, Dreamlight Valley was a place where Disney and Pixar characters lived in harmony—until the Forgetting. Night Thorns grew across the land and severed the wonderful memories tied to this magical place. With nowhere else to go, the hopeless inhabitants of Dreamlight Valley retreated behind locked doors in the Dream Castle. Now it's up to you to discover the stories of this world and bring the magic back to Dreamlight Valley! Discover the Secrets of Dreamlight Valley Free the Dream Castle from the insidious grip of the Forgetting, and unlock the unique Realms of well-loved Disney and Pixar characters. Each Realm has its own challenges, with puzzles to solve and friends to bring back to Dreamlight Valley. Free the Dream Castle from the Forgetting's grasp and unlock the Realms of great queens and kings such as Anna and Simba. Each Realm contains unique challenges with puzzles to solve in the quest to bring friendship back to the Valley. You'll start your adventure in the Valley, but your journey will take you to infinity… and beyond! Explore what lurks in the Forest of Valor and brave the deepest caverns as you take on challenges from iconic Disney and Pixar heroes and villains. Who knows who—or what—you might discover. Forge Friendships with Disney & Pixar Characters Garden with WALL•E, cook with Remy or kick back and fish with Goofy. What better way to collect, craft, and rebuild the Valley than with a friend! From beautiful princesses to nefarious villains, every Dreamlight Valley resident brings their own story arc, quests, and rewards. Meet up in daily hangouts and make friends with some of your favorite Disney and Pixar characters. Restore the Valley to Its Former Glory Free the Valley from the grip of the Forgetting and return Dreamlight Valley to its former greatness by making it your own. In Dreamlight Valley, you can build the perfect neighborhood that is just for you with a fully customizable layout, creative landscaping, and thousands of decorative items. Will you settle on the Beach next to Moana, or call Buzz Lightyear your next-door neighbor in the Plaza? Express Your Disney Style Bring out your inner princess, villain, or Disney bounder! Assemble unique outfits and decorate your home with thousands of fantastic items. Using the Touch of Magic tool, you can even create your own designs using Disney and Pixar decals! With the in-game Camera, get ready to snap a sunset selfie with Rapunzel, a culinary creation with Remy or simply cherish a moment. A Game in Constant Evolution New content means that there's always something fresh to explore. Meet new characters in the Valley, check out the latest clothing and furniture collections in Scrooge's Store, and complete challenging in-game events! Be sure to dream your way back to Dreamlight Valley regularly to discover new adventures!",2023-11-13,/game/107141,https://image.api.playstation.com/vulcan/ap/rnd/202204/0521/AE2i8UIeHoeCre6lo47PnnfL.png?w=200,27,Playstation,https://store.playstation.com/en-us/product/UP2006-PPSA05825_00-5943095808502838,https://www.youtube.com/watch?v=ho-BZg7_uL8,30%,88,"Adventure, Simulation, Simulator",20.99,https://image.api.playstation.com/vulcan/ap/rnd/202204/0521/AE2i8UIeHoeCre6lo47PnnfL.png,https://www.metacritic.com/game/disney-dreamlight-valley/critic-reviews/?platform=playstation-5,Disney Dreamlight Valley,USD,Gameloft Inc.,2022-09-06,disney-dreamlight-valley-ps4&ps5-us,https://shope.ee/9KHVDQvaKY,1,29.99,64,20.99,1
tbd,2023-11-28,"Step into the vibrant, ever-evolving world of Red Dead Online and experience life across frontier America. Forge your own path as you battle lawmen, outlaw gangs and ferocious wild animals to build a life on the American frontier. Build a camp, ride solo or form a posse and explore everything from the snowy mountains in the North to the swamps of the South, from remote outposts to busy farms and bustling towns. Chase down bounties, hunt, fish and trade, search for exotic treasures, run your own underground Moonshine distillery, or become a Naturalist to learn the secrets of the animal kingdom and much more in a world of astounding depth and detail. Join millions of fellow players in the American West, and experience a world now packed with years’ worth of new features, gameplay and additional enhancements. Includes Red Dead Online. Red Dead Redemption 2: Story Mode must be purchased separately.",2023-11-13,/game/81866,https://image.api.playstation.com/vulcan/img/rnd/202011/1718/ooOoSjORBdw4VD3KXrHBlhHZ.png?w=200,9,Playstation,https://store.playstation.com/en-us/product/UP1004-CUSA03041_00-REDEMPTION000002,https://www.youtube.com/watch?v=cWJzdDnrH_M,50%,107,"Action, Adventure",9.99,https://image.api.playstation.com/vulcan/img/rnd/202011/1718/ooOoSjORBdw4VD3KXrHBlhHZ.png,https://www.metacritic.com/game/red-dead-online/critic-reviews/?platform=playstation-4,Red Dead Online,USD,Rockstar Games,2018-10-26,red-dead-online-ps4-us,https://shope.ee/8pLEfIKP57,0,19.99,83,9.99,1
97,2023-11-28,"Includes Red Dead Redemption 2: Story Mode and Red Dead Online. Winner of over 175 Game of the Year Awards and recipient of over 250 perfect scores, Red Dead Redemption 2 is an epic tale of honor and loyalty at the dawn of the modern age. America, 1899. Arthur Morgan and the Van der Linde gang are outlaws on the run. With federal agents and the best bounty hunters in the nation massing on their heels, the gang must rob, steal and fight their way across the rugged heartland of America in order to survive. As deepening internal divisions threaten to tear the gang apart, Arthur must make a choice between his own ideals and loyalty to the gang who raised him. Red Dead Redemption 2 also includes the shared living world of Red Dead Online – forge your own path as you battle lawmen, outlaw gangs and ferocious wild animals to build a life on the American frontier. Build a camp, ride solo or form a posse and explore everything from the snowy mountains in the North to the swamps of the South, from remote outposts to busy farms and bustling towns. Chase down bounties, hunt, fish and trade, search for exotic treasures, run your own underground Moonshine distillery, or become a Naturalist to learn the secrets of the animal kingdom and much more in a world of astounding depth and detail – includes all new features, gameplay content and additional enhancements released since launch.",2023-11-13,/game/27100,https://image.api.playstation.com/cdn/UP1004/CUSA03041_00/Hpl5MtwQgOVF9vJqlfui6SDB5Jl4oBSq.png?w=200,50,Playstation,https://store.playstation.com/en-us/product/UP1004-CUSA03041_00-REDEMPTIONFULL02,https://www.youtube.com/watch?v=HVRzx17WHVk,67%,181,"Action, Adventure, Unique",19.79,https://image.api.playstation.com/cdn/UP1004/CUSA03041_00/Hpl5MtwQgOVF9vJqlfui6SDB5Jl4oBSq.png,https://www.metacritic.com/game/red-dead-redemption-2/critic-reviews/?platform=playstation-4,Red Dead Redemption 2,USD,Rockstar Games,2018-10-26,red-dead-redemption-2-ps4-us,https://shope.ee/LMgXgCciY,0,59.99,81,19.79,1
94,2023-11-28,"From Santa Monica Studio comes the sequel to the critically acclaimed God of War (2018). Join Kratos and Atreus on a mythic journey for answers before Ragnarök arrives. Together, father and son must put everything on the line as they journey to each of the Nine Realms. Throughout stunning mythological landscapes, they’ll face fearsome enemies – from Norse gods to wild beasts – as they prepare for the showdown of their lives. Armed with his trusty weapons of war – including the Leviathan Axe and the Blades of Chaos – Kratos’ deadly skills will be tested like never before as he fights to protect his family. A host of new abilities for him and Atreus also await, leaving room for fluid, expressive and customizable combat in this epic and unflinching tale. All the while, Asgardian forces assemble… - Feel your journey through the Norse realms, made possible by immersive haptic feedback and adaptive trigger functionality. - Bask in the beautiful worlds you travel through, brought to life by stunning art direction and arresting attention to detail. - Take advantage of multidirectional 3D Audio; hear enemies approaching from any direction.¹ ¹ 3D Audio with stereo headphones (analog or USB).",2023-11-13,,https://image.api.playstation.com/vulcan/ap/rnd/202207/1210/4xJ8XB3bi888QTLZYdl7Oi0s.png?w=200,,Playstation,https://store.playstation.com/en-us/product/UP9000-PPSA08329_00-GOWRAGNAROK00000,,43%,,Action,999999,https://image.api.playstation.com/vulcan/ap/rnd/202207/1210/4xJ8XB3bi888QTLZYdl7Oi0s.png,https://www.metacritic.com/game/god-of-war-ragnarok/critic-reviews/?platform=playstation-5,God of War Ragnarök,USD,Sony Interactive Entertainment,2022-11-09,god-of-war-ragnark-ps4&ps5-us,https://shope.ee/4fVfeb2DNw,1,69.99,,39.89,1
93,2023-11-28,"This product entitles you to download both the digital PS4™ version and the digital PS5™ version of this game. Note: This product is also available as part of a bundle. Please take care to avoid duplicate purchases. Survival is just the beginning. Six years have passed since the biological disaster in Raccoon City. Agent Leon S. Kennedy, one of the survivors of the incident, has been sent to rescue the president's kidnapped daughter. He tracks her to a secluded European village, where there is something terribly wrong with the locals. And the curtain rises on this story of daring rescue and grueling horror where life and death, terror and catharsis intersect. Featuring modernized gameplay, a reimagined storyline, and vividly detailed graphics, Resident Evil 4 marks the rebirth of an industry juggernaut. Relive the nightmare that revolutionized survival horror.",2023-11-13,/game/7720,https://image.api.playstation.com/vulcan/ap/rnd/202210/0706/EVWyZD63pahuh95eKloFaJuC.png?w=200,15,Playstation,https://store.playstation.com/en-us/product/UP0102-PPSA07411_00-RE4RMAINGAME0000,https://www.youtube.com/watch?v=rcFarJACzx0,34%,31,"Action, Adventure, Horror",39.59,https://image.api.playstation.com/vulcan/ap/rnd/202210/0706/EVWyZD63pahuh95eKloFaJuC.png,https://www.metacritic.com/game/resident-evil-4/critic-reviews/?platform=playstation-5,Resident Evil 4,USD,"Capcom U.S.A., Inc.",2023-03-24,resident-evil-4-ps4&ps5-us,https://shope.ee/30NRevxFFg,1,59.99,19,39.59,1
93,2023-11-28,"Tetris® Effect: Connected is Tetris like you've never seen it, or heard it, or felt it before—an incredibly addictive, unique, and breathtakingly gorgeous reinvention of one of the most popular puzzle games of all time, from the people who brought you the award-winning Rez Infinite and legendary puzzle game Lumines. Music, backgrounds, sounds, special effects—everything, down to the Tetriminos themselves—pulse, dance, shimmer, and explode in perfect sync with how you're playing, making any of the game's 30+ stages and 10+ modes something you'll want to experience over and over again. Plus cross-platform multiplayer modes for competitive and cooperative play! • Close your eyes to enter the ZONE With PS VR2 eye tracking enabled in the game options, you can enter the ZONE by closing and then opening your eyes. • PS VR2 headset feedback Transport yourself into the world of Tetris Effect: Connected where you can feel key moments in gameplay. Transitions are physical as you move between Journey Mode stages. Feel the jolt of the haptics as you go into and out of the ZONE. • Enhanced haptic feedback New vibration settings utilize the new dual-actuators of the DualSense PS5 controller and the PS VR2 Sense controllers adding a new layer of sensory stimulation. • An exhilarating single-player experience full of surprises. Over 30 different stages, each with its own music, sound effects, graphical style and background that all evolve and change as you play through them. • The Zone is an all-new mechanic designed just for Tetris Effect: Connected! Includes the all-new “Zone” mechanic, where players can stop time (and Tetriminos falling) by entering “the Zone” and either get out of a sticky situation that could otherwise lead to “Game Over,” or rack up extra Line Clears for bonus rewards. • Cross-platform multiplayer lets you play with players from all over the world! Players on different platforms can easily join Friend Match rooms with the new Room ID feature. • A wide variety of competitive and co-op modes! Among the new modes is CONNECTED, where three players can team up and literally connect their Tetris Matrices to fight against A.I.-controlled Bosses; Zone Battle, a one-on-one match of standard competitive Tetris, but with a twist: the time-stopping Zone mechanic; and Score Attack and Classic Score Attack,” two single-player versus modes where two players compete separately to see who can get the best score. • Join in on the fun in Spectator mode! Spectator mode is available in Friend Matches. A room can contain up to 8 total people. Spectators can use emotes during the match to liven up the competition. • Transfer save data from the PS4 version to PS5 Download and transfer your PS4 save data to the PS5 using cloud or extended storage or connect to the same network and transfer data directly from PS4 to PS5. Buy Tetris Effect: Connected digital version for PlayStation®VR from the PlayStation™ Store and you can claim Tetris Effect: Connected digital version for PlayStation®VR2 at a discounted price. If you already own the PlayStation®VR version of this game, you can get the PlayStation®VR2 digital version for a discounted price and you do not need to purchase this product. Owners of a PlayStation®VR disc copy must insert it into the PS5 every time they want to download or play the PlayStation®VR2 digital version. PlayStation®VR game disc owners who buy the PS5 Digital Edition disc-free console will not be able to get the PlayStation®VR2 version for the discounted price.",2023-11-13,/game/84923,https://image.api.playstation.com/vulcan/ap/rnd/202301/2006/Jjqj4oIcWvyV4jGpDQkTsSag.png?w=200,3,Playstation,https://store.playstation.com/en-us/product/UP0751-PPSA07923_00-TETRISEFFECT0001,https://www.youtube.com/watch?v=VdBjK4CFAks,25%,55,Puzzle,29.99,https://image.api.playstation.com/vulcan/ap/rnd/202301/2006/Jjqj4oIcWvyV4jGpDQkTsSag.png,https://www.metacritic.com/game/tetris-effect-connected/critic-reviews/?platform=playstation-5,Tetris® Effect: Connected,USD,Enhance Games,2023-02-22,tetris-effect-connected-ps5-us,https://shope.ee/40Fyr0eRSj,1,39.99,7,29.99,0
93,2023-11-28,"Defy the god of the dead as you hack and slash out of the Underworld in this rogue-like dungeon crawler from the creators of Bastion, Transistor, and Pyre. BATTLE OUT OF HELL As the immortal Prince of the Underworld, you'll wield the powers and mythic weapons of Olympus to break free from the clutches of the god of the dead himself, while growing stronger and unraveling more of the story with each unique escape attempt. UNLEASH THE FURY OF OLYMPUS The Olympians have your back! Meet Zeus, Athena, Poseidon, and many more, and choose from their dozens of powerful Boons that enhance your abilities. There are thousands of viable character builds to discover as you go. BEFRIEND GODS, GHOSTS, AND MONSTERS A fully-voiced cast of colorful, larger-than-life characters is waiting to meet you! Grow your relationships with them, and experience thousands of unique story events as you learn about what's really at stake for this big, dysfunctional family. BUILT FOR REPLAYABILITY New surprises await each time you delve into the ever-shifting Underworld, whose guardian bosses will remember you. Use the powerful Mirror of Night to grow permanently stronger, and give yourself a leg up the next time you run away from home. NOTHING IS IMPOSSIBLE Permanent upgrades mean you don't have to be a god yourself to experience the exciting combat and gripping story. Though, if you happen to be one, crank up the challenge and get ready for some white-knuckle action that will put your well-practiced skills to the test. SIGNATURE SUPERGIANT STYLE The rich, atmospheric presentation and unique melding of gameplay and narrative that's been core to Supergiant's games is here in full force: spectacular hand-painted environments and a blood-pumping original score bring the Underworld to life.",2023-11-13,/game/62941,https://image.api.playstation.com/vulcan/ap/rnd/202104/0517/9AcM3vy5t77zPiJyKHwRfnNT.png?w=200,22,Playstation,https://store.playstation.com/en-us/product/UP2125-PPSA03355_00-3466019145463410,https://www.youtube.com/watch?v=593xCDfumN0,40%,95,Action,14.99,https://image.api.playstation.com/vulcan/ap/rnd/202104/0517/9AcM3vy5t77zPiJyKHwRfnNT.png,https://www.metacritic.com/game/hades/critic-reviews/?platform=playstation-5,Hades,USD,"Supergiant Games, LLC",2021-08-13,hades-ps4&ps5-us,https://shope.ee/10cNJGTZ44,1,24.99,48,14.99,1
92,2023-11-28,"This product entitles you to download both the digital PS4™ version and the digital PS5™ version of this game. Here comes Capcom’s newest challenger! Street Fighter™ 6 launches worldwide on June 2nd, 2023 and represents the next evolution of the series. Powered by Capcom’s proprietary RE ENGINE, the Street Fighter 6 experience spans across three distinct game modes featuring World Tour, Fighting Ground and Battle Hub. Diverse Roster of 18 Fighters Play legendary masters and new fan favorites like Ryu, Chun-Li, Luke, Jamie, Kimberly and more in this latest edition with each character featuring striking new redesigns and exhilarating cinematic specials. Dominate the Fighting Ground Street Fighter 6 offers a highly evolved combat system with three control types - Classic, Modern and Dynamic - allowing you to quickly play to your skill level. The new Real Time Commentary Feature adds all the hype of a competitive match as well as easy-to-understand explanations about your gameplay. The Drive Gauge is a new system to manage your resources. Use it wisely in order to claim victory. Explore the Streets in World Tour Discover the meaning of strength in World Tour, an immersive, single-player story mode. Take your avatar and explore Metro City and beyond. Meet Masters who will take you under their wing and teach you their style and techniques. Seek Rivals in the Battle Hub The Battle Hub represents a core mode of Street Fighter 6 where players can gather and communicate, and become stronger together. Use the avatar you create in World Tour to check out cabinets on the Battle Hub floor and play against other players, or head over to the Game Center to enjoy some of Capcom's classic arcade games. Your path to becoming a World Warrior starts here. Online Play Capcom provides various online services for this game, including online-only content. * Certain elements of this game cannot be accessed without an internet connection. * A Capcom ID is required to use online-only content. * For information on the services related to Capcom ID and how to use it, please visit the official Capcom ID website (https://cid.capcom.com/). Please note that there may be cases wherein use of Capcom ID is age-restricted. * For online-only content, a separate paid membership service (PlayStation®Plus) is required. * Capcom may temporarily suspend online services in the event of unforeseen circumstances.",2023-11-13,/game/108883,https://image.api.playstation.com/vulcan/ap/rnd/202211/1407/XFU0aPBvtm3W2od1ZvhByAOv.png?w=200,17,Playstation,https://store.playstation.com/en-us/product/UP0102-PPSA02632_00-SF600000STANDARD,https://www.youtube.com/watch?v=1INU3FOJsTw,34%,48,Fighting,39.59,https://image.api.playstation.com/vulcan/ap/rnd/202211/1407/XFU0aPBvtm3W2od1ZvhByAOv.png,https://www.metacritic.com/game/street-fighter-6/critic-reviews/?platform=playstation-5,Street Fighter™ 6,USD,"Capcom U.S.A., Inc.",2023-06-02,street-fighter-6-ps4&ps5-us,https://shope.ee/30NReWtryU,1,59.99,30,39.59,1
92,2023-11-28,"THE MOST AWARDED GAME OF A GENERATION NOW ENHANCED FOR THE NEXT ABOUT THE GAME You are Geralt of Rivia, mercenary monster slayer. Before you stands a war-torn, monster-infested continent you can explore at will. Your current contract? Tracking down Ciri — the Child of Prophecy, a living weapon that can alter the shape of the world. This version of The Witcher 3: Wild Hunt comes with new features and items, including a built-in Photo Mode, swords, armor, and alternate outfits inspired by The Witcher Netflix series — and more! UPDATED FOR A NEW GENERATION Behold the dark fantasy world of the Continent like never before! This edition of The Witcher 3: Wild Hunt has been enhanced with numerous visual and technical improvements, including vastly improved level of detail, faster loading times, a range of community created and newly developed mods for the game, real-time ray tracing, 3D audio support, and more — all implemented with the power of the PlayStation®5 in mind. The game also utilizes the unique features of the DualSense controller, with its advanced haptics and adaptive triggers, letting you immerse yourself in the adventure even more! PLAY AS A HIGHLY TRAINED MONSTER SLAYER FOR HIRE Trained from early childhood and mutated to gain superhuman skills, strength, and reflexes, witchers are a counterbalance to the monster-infested world in which they live. • Gruesomely destroy foes as a professional monster hunter armed with a range of upgradeable weapons, mutating potions, and combat magic. • Hunt down a wide variety of exotic monsters, from savage beasts prowling mountain passes to cunning supernatural predators lurking in the shadowy back alleys of densely populated cities. • Invest your rewards to upgrade your weaponry and buy custom armor, or spend them on horse races, card games, fist fighting, and other pleasures life brings. EXPLORE A MORALLY AMBIGUOUS FANTASY OPEN WORLD Built for endless adventure, the massive open world of The Witcher sets new standards in terms of size, depth, and complexity. • Traverse a fantastical open world: explore forgotten ruins, caves, and shipwrecks, trade with merchants and dwarven smiths in cities, and hunt across the open plains, mountains, and seas. • Deal with treasonous generals, devious witches, and corrupt royalty to provide dark and dangerous services. • Make choices that go beyond good & evil, and face their far-reaching consequences. TRACK DOWN THE CHILD OF PROPHECY Take on the most important contract of your life: to track down the child of prophecy, the key to saving or destroying this world. • In times of war, chase down the child of prophecy, a living weapon foretold by ancient elven legends. • Struggle against ferocious rulers, spirits of the wilds, and even a threat from beyond the veil – all hell-bent on controlling this world. • Define your destiny in a world that may not be worth saving.",2023-11-13,/game/10270,https://image.api.playstation.com/vulcan/ap/rnd/202211/0711/kh4MUIuMmHlktOHar3lVl6rY.png?w=200,51,Playstation,https://store.playstation.com/en-us/product/UP4497-PPSA10407_00-00000000000000N2,https://www.youtube.com/watch?v=5nLipy-Z4yo,70%,173,"Role Playing Games, Role Playing Games, Role Playing Games",11.99,https://image.api.playstation.com/vulcan/ap/rnd/202211/0711/kh4MUIuMmHlktOHar3lVl6rY.png,https://www.metacritic.com/game/the-witcher-3-wild-hunt/critic-reviews/?platform=playstation-4,The Witcher 3: Wild Hunt,USD,CD PROJEKT SA,2022-12-14,the-witcher-3-wild-hunt-ps4&ps5-us,https://shope.ee/1qBUHDUZiC,1,39.99,103,11.99,1
